"Condition","Line","EvoTime","Chr","CCN"
"PA",3,"t400","VI",4
"PA",3,"t400","VII",4
"PA",3,"t400","VIII",5
"PA",3,"t400","IX",4
"PA",3,"t400","X",4
"PA",3,"t400","XI",4
"PA",3,"t400","XII",4
"PA",3,"t400","XIII",4
"PA",3,"t400","XIV",4
"PA",3,"t400","XV",4
"PA",3,"t400","XVI",4
"PA",3,"t600","I",3
"PA",3,"t600","II",5
"PA",3,"t600","III",3
"PA",3,"t600","IV",4
"PA",3,"t600","V",4
"PA",3,"t600","VI",3
"PA",3,"t600","VII",4
"PA",3,"t600","VIII",5
"PA",3,"t600","IX",4
"PA",3,"t600","X",4
"PA",3,"t600","XI",4
"PA",3,"t600","XII",4
"PA",3,"t600","XIII",4
"PA",3,"t600","XIV",4
"PA",3,"t600","XV",4
"PA",3,"t600","XVI",4
"PA",4,"t1000","I",3
"PA",4,"t1000","II",6
"PA",4,"t1000","III",5
"PA",4,"t1000","IV",4
"PA",4,"t1000","V",4
"PA",4,"t1000","VI",4
"PA",4,"t1000","VII",5
"PA",4,"t1000","VIII",5
"PA",4,"t1000","IX",6
"PA",4,"t1000","X",5
"PA",4,"t1000","XI",5
"PA",4,"t1000","XII",4
"PA",4,"t1000","XIII",4
"PA",4,"t1000","XIV",8
"PA",4,"t1000","XV",4
"PA",4,"t1000","XVI",4
"PA",4,"t200","I",3
"PA",4,"t200","II",4
"PA",4,"t200","III",5
"PA",4,"t200","IV",4
"PA",4,"t200","V",4
"PA",4,"t200","VI",4
"PA",4,"t200","VII",4
"PA",4,"t200","VIII",5
"PA",4,"t200","IX",4
"PA",4,"t200","X",4
"PA",4,"t200","XI",4
"PA",4,"t200","XII",4
"PA",4,"t200","XIII",4
"PA",4,"t200","XIV",4
"PA",4,"t200","XV",4
"PA",4,"t200","XVI",4
"PA",4,"t400","I",3
"PA",4,"t400","II",5
"PA",4,"t400","III",6
"PA",4,"t400","IV",4
"PA",4,"t400","V",4
"PA",4,"t400","VI",4
"PA",4,"t400","VII",4
"PA",4,"t400","VIII",5
"PA",4,"t400","IX",4
"PA",4,"t400","X",4
"PA",4,"t400","XI",5
"PA",4,"t400","XII",4
"PA",4,"t400","XIII",4
"PA",4,"t400","XIV",6
"PA",4,"t400","XV",4
"PA",4,"t400","XVI",4
"PA",4,"t600","I",3
"PA",4,"t600","II",6
"PA",4,"t600","III",5
"PA",4,"t600","IV",4
"PA",4,"t600","V",4
"PA",4,"t600","VI",4
"PA",4,"t600","VII",5
"PA",4,"t600","VIII",6
"PA",4,"t600","IX",6
"PA",4,"t600","X",5
"PA",4,"t600","XI",5
"PA",4,"t600","XII",4
"PA",4,"t600","XIII",4
"PA",4,"t600","XIV",8
"PA",4,"t600","XV",4
"PA",4,"t600","XVI",4
"PA",5,"t1000","I",3
"PA",5,"t1000","II",4
"PA",5,"t1000","III",3
"PA",5,"t1000","IV",4
"PA",5,"t1000","V",4
"PA",5,"t1000","VI",4
"PA",5,"t1000","VII",4
"PA",5,"t1000","VIII",5
"PA",5,"t1000","IX",5
"PA",5,"t1000","X",4
"PA",5,"t1000","XI",4
"PA",5,"t1000","XII",3
"PA",5,"t1000","XIII",4
"PA",5,"t1000","XIV",5
"PA",5,"t1000","XV",4
"PA",5,"t1000","XVI",4
"PA",5,"t200","I",3
"PA",5,"t200","II",4
"PA",5,"t200","III",4
"PA",5,"t200","IV",4
"PA",5,"t200","V",4
"PA",5,"t200","VI",4
"PA",5,"t200","VII",4
"PA",5,"t200","VIII",4
"PA",5,"t200","IX",4
"PA",5,"t200","X",4
"PA",5,"t200","XI",4
"PA",5,"t200","XII",4
"PA",5,"t200","XIII",4
"PA",5,"t200","XIV",4
"PA",5,"t200","XV",5
"PA",5,"t200","XVI",4
"PA",5,"t400","I",3
"PA",5,"t400","II",5
"PA",5,"t400","III",4
"PA",5,"t400","IV",4
"PA",5,"t400","V",4
"PA",5,"t400","VI",4
"PA",5,"t400","VII",4
"PA",5,"t400","VIII",5
"PA",5,"t400","IX",4
"PA",5,"t400","X",4
"PA",5,"t400","XI",4
"PA",5,"t400","XII",4
"PA",5,"t400","XIII",4
"PA",5,"t400","XIV",4
"PA",5,"t400","XV",4
"PA",5,"t400","XVI",4
"PA",5,"t600","I",3
"PA",5,"t600","II",4
"PA",5,"t600","III",4
"PA",5,"t600","IV",4
"PA",5,"t600","V",3
"PA",5,"t600","VI",4
"PA",5,"t600","VII",4
"PA",5,"t600","VIII",5
"PA",5,"t600","IX",5
"PA",5,"t600","X",4
"PA",5,"t600","XI",4
"PA",5,"t600","XII",3
"PA",5,"t600","XIII",3
"PA",5,"t600","XIV",3
"PA",5,"t600","XV",4
"PA",5,"t600","XVI",3
"PM",NA,"t0","I",2
"PM",NA,"t0","II",2
"PM",NA,"t0","III",2
"PM",NA,"t0","IV",2
"PM",NA,"t0","V",2
"PM",NA,"t0","VI",2
"PM",NA,"t0","VII",2
"PM",NA,"t0","VIII",2
"PM",NA,"t0","IX",2
"PM",NA,"t0","X",2
"PM",NA,"t0","XI",2
"PM",NA,"t0","XII",2
"PM",NA,"t0","XIII",2
"PM",NA,"t0","XIV",2
"PM",NA,"t0","XV",2
"PM",NA,"t0","XVI",2
"PM",1,"t1000","I",4
"PM",1,"t1000","II",4
"PM",1,"t1000","III",4
"PM",1,"t1000","IV",4
"PM",1,"t1000","V",4
"PM",1,"t1000","VI",4
"PM",1,"t1000","VII",4
"PM",1,"t1000","VIII",5
"PM",1,"t1000","IX",4
"PM",1,"t1000","X",4
"PM",1,"t1000","XI",4
"PM",1,"t1000","XII",4
"PM",1,"t1000","XIII",4
"PM",1,"t1000","XIV",4
"PM",1,"t1000","XV",4
"PM",1,"t1000","XVI",4
"PM",1,"t200","I",5
"PM",1,"t200","II",4
"PM",1,"t200","III",5
"PM",1,"t200","IV",4
"PM",1,"t200","V",4
"PM",1,"t200","VI",4
"PM",1,"t200","VII",4
"PM",1,"t200","VIII",4
"PM",1,"t200","IX",4
"PM",1,"t200","X",4
"PM",1,"t200","XI",4
"PM",1,"t200","XII",4
"PM",1,"t200","XIII",4
"PM",1,"t200","XIV",4
"PM",1,"t200","XV",4
"PM",1,"t200","XVI",4
"PM",1,"t400","I",4
"PM",1,"t400","II",4
"PM",1,"t400","III",4
"PM",1,"t400","IV",4
"PM",1,"t400","V",4
"PM",1,"t400","VI",4
"PM",1,"t400","VII",4
"PM",1,"t400","VIII",4
"PM",1,"t400","IX",4
"PM",1,"t400","X",4
"PM",1,"t400","XI",4
"PM",1,"t400","XII",4
"PM",1,"t400","XIII",4
"PM",1,"t400","XIV",4
"PM",1,"t400","XV",4
"PM",1,"t400","XVI",4
"PM",1,"t600","I",4
"PM",1,"t600","II",4
"PM",1,"t600","III",4
"PM",1,"t600","IV",4
"PM",1,"t600","V",4
"PM",1,"t600","VI",4
"PM",1,"t600","VII",4
"PM",1,"t600","VIII",4
"PM",1,"t600","IX",4
"PM",1,"t600","X",4
"PM",1,"t600","XI",4
"PM",1,"t600","XII",4
"PM",1,"t600","XIII",4
"PM",1,"t600","XIV",4
"PM",1,"t600","XV",4
"PM",1,"t600","XVI",4
"PM",2,"t1000","I",5
"PM",2,"t1000","II",4
"PM",2,"t1000","III",4
"PM",2,"t1000","IV",4
"PM",2,"t1000","V",4
"PM",2,"t1000","VI",4
"PM",2,"t1000","VII",4
"PM",2,"t1000","VIII",4
"PM",2,"t1000","IX",4
"PM",2,"t1000","X",4
"PM",2,"t1000","XI",4
"PM",2,"t1000","XII",4
"PM",2,"t1000","XIII",4
"PM",2,"t1000","XIV",4
"PM",2,"t1000","XV",4
"PM",2,"t1000","XVI",4
"PM",2,"t200","I",4
"PM",2,"t200","II",4
"PM",2,"t200","III",4
"PM",2,"t200","IV",4
"PM",2,"t200","V",4
"PM",2,"t200","VI",4
"PM",2,"t200","VII",4
"PM",2,"t200","VIII",4
"PM",2,"t200","IX",4
"PM",2,"t200","X",4
"PM",2,"t200","XI",4
"PM",2,"t200","XII",4
"PM",2,"t200","XIII",4
"PM",2,"t200","XIV",4
"PM",2,"t200","XV",4
"PM",2,"t200","XVI",4
"PM",2,"t400","I",4
"PM",2,"t400","II",4
"PM",2,"t400","III",4
"PM",2,"t400","IV",4
"PM",2,"t400","V",4
"PM",2,"t400","VI",4
"PM",2,"t400","VII",4
"PM",2,"t400","VIII",4
"PM",2,"t400","IX",4
"PM",2,"t400","X",4
"PM",2,"t400","XI",4
"PM",2,"t400","XII",4
"PM",2,"t400","XIII",4
"PM",2,"t400","XIV",4
"PM",2,"t400","XV",4
"PM",2,"t400","XVI",4
"PM",2,"t600","I",4
"PM",2,"t600","II",4
"PM",2,"t600","III",4
"PM",2,"t600","IV",4
"PM",2,"t600","V",4
"PM",2,"t600","VI",4
"PM",2,"t600","VII",4
"PM",2,"t600","VIII",4
"PM",2,"t600","IX",4
"PM",2,"t600","X",4
"PM",2,"t600","XI",4
"PM",2,"t600","XII",4
"PM",2,"t600","XIII",4
"PM",2,"t600","XIV",4
"PM",2,"t600","XV",4
"PM",2,"t600","XVI",4
"PM",3,"t1000","I",4
"PM",3,"t1000","II",4
"PM",3,"t1000","III",4
"PM",3,"t1000","IV",4
"PM",3,"t1000","V",4
"PM",3,"t1000","VI",4
"PM",3,"t1000","VII",4
"PM",3,"t1000","VIII",4
"PM",3,"t1000","IX",4
"PM",3,"t1000","X",4
"PM",3,"t1000","XI",4
"PM",3,"t1000","XII",4
"PM",3,"t1000","XIII",4
"PM",3,"t1000","XIV",4
"PM",3,"t1000","XV",4
"PM",3,"t1000","XVI",4
"PM",3,"t200","I",4
"PM",3,"t200","II",4
"PM",3,"t200","III",4
"PM",3,"t200","IV",4
"PM",3,"t200","V",4
"PM",3,"t200","VI",4
"PM",3,"t200","VII",4
"PM",3,"t200","VIII",4
"PM",3,"t200","IX",4
"PM",3,"t200","X",4
"PM",3,"t200","XI",4
"PM",3,"t200","XII",4
"PM",3,"t200","XIII",4
"PM",3,"t200","XIV",4
"PM",3,"t200","XV",4
"PM",3,"t200","XVI",4
"PM",3,"t400","I",4
"PM",3,"t400","II",4
"PM",3,"t400","III",4
"PM",3,"t400","IV",4
"PM",3,"t400","V",4
"PM",3,"t400","VI",4
"PM",3,"t400","VII",4
"PM",3,"t400","VIII",4
"PM",3,"t400","IX",4
"PM",3,"t400","X",4
"PM",3,"t400","XI",4
"PM",3,"t400","XII",4
"PM",3,"t400","XIII",4
"PM",3,"t400","XIV",4
"PM",3,"t400","XV",4
"PM",3,"t400","XVI",4
"PM",3,"t600","I",5
"PM",3,"t600","II",4
"PM",3,"t600","III",5
"PM",3,"t600","IV",4
"PM",3,"t600","V",4
"PM",3,"t600","VI",5
"PM",3,"t600","VII",4
"PM",3,"t600","VIII",4
"PM",3,"t600","IX",4
"PM",3,"t600","X",4
"PM",3,"t600","XI",4
"PM",3,"t600","XII",4
"PM",3,"t600","XIII",4
"PM",3,"t600","XIV",4
"PM",3,"t600","XV",4
"PM",3,"t600","XVI",4
"PM",4,"t1000","I",4
"PM",4,"t1000","II",4
"PM",4,"t1000","III",4
"PM",4,"t1000","IV",4
"PM",4,"t1000","V",4
"PM",4,"t1000","VI",4
"PM",4,"t1000","VII",4
"PM",4,"t1000","VIII",4
"PM",4,"t1000","IX",4
"PM",4,"t1000","X",4
"PM",4,"t1000","XI",4
"PM",4,"t1000","XII",4
"PM",4,"t1000","XIII",4
"PM",4,"t1000","XIV",4
"PM",4,"t1000","XV",4
"PM",4,"t1000","XVI",4
"PM",4,"t200","I",4
"PM",4,"t200","II",4
"PM",4,"t200","III",4
"PM",4,"t200","IV",4
"PM",4,"t200","V",4
"PM",4,"t200","VI",4
"PM",4,"t200","VII",4
"PM",4,"t200","VIII",4
"PM",4,"t200","IX",4
